authority,1964,1968,1971,1974,1978,1982,1986,1990,1994,1998,2002,2006,2010,2014,2018
Barking and Dagenham,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB
Barnet,CON,CON,CON,CON,CON,CON,CON,CON,NOC,NOC,CON,CON,CON,CON,CON
Bexley,LAB,CON,LAB,CON,CON,CON,CON,CON,NOC,CON,LAB,CON,CON,CON,CON
Brent,LAB,CON,LAB,LAB,LAB,NOC,LAB,NOC,NOC,LAB,LAB,NOC,LAB,LAB,LAB
Bromley,CON,CON,CON,CON,CON,CON,CON,CON,CON,NOC,CON,CON,CON,CON,CON
Camden,LAB,CON,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,NOC,LAB,LAB,LAB
Croydon,NOC,CON,CON,CON,CON,CON,CON,CON,LAB,LAB,LAB,CON,CON,LAB,LAB
Ealing,LAB,CON,LAB,LAB,CON,CON,LAB,CON,LAB,LAB,LAB,CON,LAB,LAB,LAB
Enfield,LAB,CON,CON,CON,CON,CON,CON,CON,LAB,LAB,CON,CON,LAB,LAB,LAB
Greenwich,LAB,CON,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB
Hackney,LAB,CON,LAB,LAB,LAB,LAB,LAB,LAB,LAB,NOC,LAB,LAB,LAB,LAB,LAB
Hammersmith and Fulham,LAB,CON,LAB,LAB,NOC,NOC,LAB,LAB,LAB,LAB,LAB,CON,CON,LAB,LAB
Haringey,LAB,CON,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB
Harrow,CON,CON,NOC,CON,CON,CON,CON,CON,NOC,LAB,NOC,CON,LAB,LAB,LAB
Havering,NOC,CON,LAB,NOC,CON,CON,NOC,NOC,NOC,NOC,NOC,CON,CON,NOC,NOC
Hillingdon,LAB,CON,LAB,LAB,CON,CON,NOC,CON,LAB,NOC,NOC,CON,CON,CON,CON
Hounslow,LAB,CON,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,NOC,LAB,LAB,LAB
Islington,LAB,CON,LAB,LAB,LAB,LAB,LAB,LAB,LAB,NOC,LD,NOC,LAB,LAB,LAB
Kensington and Chelsea,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
Kingston upon Thames,CON,CON,CON,CON,CON,CON,NOC,NOC,LD,NOC,LD,LD,LD,CON,LD
Lambeth,LAB,CON,LAB,LAB,LAB,NOC,LAB,LAB,NOC,LAB,NOC,LAB,LAB,LAB,LAB
Lewisham,LAB,CON,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,NOC,LAB,LAB,LAB
Merton,NOC,CON,LAB,CON,CON,CON,LAB,LAB,LAB,LAB,LAB,NOC,NOC,LAB,LAB
Newham,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB
Redbridge,CON,CON,CON,CON,CON,CON,CON,CON,NOC,NOC,CON,CON,NOC,LAB,LAB
Richmond upon Thames,CON,CON,CON,CON,CON,NOC,LD,LD,LD,LD,CON,LD,CON,CON,LD
Southwark,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LAB,NOC,NOC,LAB,LAB,LAB
Sutton,CON,CON,CON,CON,CON,CON,NOC,LD,LD,LD,LD,LD,LD,LD,LD
Tower Hamlets,LAB,LAB,LAB,LAB,LAB,LAB,LAB,LD,LD,LAB,LAB,LAB,LAB,LAB,NOC
Waltham Forest,LAB,CON,LAB,LAB,LAB,NOC,LAB,LAB,NOC,LAB,NOC,NOC,LAB,LAB,LAB
Wandsworth,LAB,CON,LAB,LAB,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
Westminster,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON,CON
